"Connector","Connector"
"General","General"
"Enable","Enable"
"Webhook URL","Webhook URL"
"Paste the Webhook URL shown in your dashboard.","Paste the Webhook URL shown in your dashboard."
"Signing Secret","Signing Secret"
"Paste the signing secret shown once in your dashboard.","Paste the signing secret shown once in your dashboard."
"BotPenguin","BotPenguin"
"Enter the Webhook URL and Signing Secret, then set Enable = Yes.","Enter the Webhook URL and Signing Secret, then set Enable = Yes."
"Connected successfully.","Connected successfully."
"Activation failed: %1","Activation failed: %1"
"Could not reach the server: %1","Could not reach the server: %1"
